Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Brittney Sykes,WAS,G,12.0,277.0,12.0,12.0,23.1,4.8,11.4,0.416,0.8,3.2,0.263,3.9,8.3,0.475,1.9,2.7,0.719,0.6,3.8,3.3,0.8,0.4,1.8,1.6,12.3
Stephanie Talbot,LAS,F,30.0,527.0,30.0,10.0,17.6,1.5,3.6,0.426,0.4,1.4,0.286,1.1,2.2,0.515,0.6,0.9,0.667,0.5,3.0,2.1,0.6,0.5,1.1,1.4,4.1
Diana Taurasi,PHO,G,31.0,924.0,31.0,31.0,29.8,4.8,11.8,0.403,2.4,7.0,0.339,2.4,4.8,0.497,3.1,3.6,0.857,0.4,4.0,3.3,0.7,0.3,2.0,2.7,15.0
Alyssa Thomas,CON,F,33.0,1074.0,33.0,33.0,32.5,4.2,8.2,0.507,0.0,0.1,0.0,4.2,8.1,0.511,2.4,3.8,0.622,2.5,8.6,7.6,1.6,0.5,3.7,2.2,10.7
Kayla Thornton,NYL,F,34.0,688.0,34.0,11.0,20.2,2.1,5.4,0.391,1.2,3.3,0.363,0.9,2.1,0.437,0.6,0.8,0.846,1.0,2.5,0.7,0.9,0.2,0.5,1.4,6.1
Brianna Turner,CHI,F,21.0,121.0,21.0,0.0,5.8,0.3,0.5,0.7,0.0,0.0,0.0,0.3,0.5,0.7,0.0,0.1,0.5,0.2,1.1,0.2,0.1,0.3,0.1,0.8,0.7
Sevgi Uzun,DAL,G,33.0,721.0,33.0,19.0,21.8,1.9,5.3,0.366,0.5,2.2,0.239,1.4,3.2,0.452,0.6,0.7,0.826,0.2,1.8,3.1,1.0,0.3,2.0,1.6,5.0
Courtney Vandersloot,NYL,G,25.0,581.0,25.0,25.0,23.2,2.8,6.1,0.461,0.7,2.3,0.31,2.1,3.8,0.553,0.6,1.0,0.538,0.4,2.8,5.0,0.8,0.4,2.0,1.7,6.9
Julie Vanloo,WAS,G,34.0,819.0,34.0,28.0,24.1,2.8,8.1,0.35,1.9,5.7,0.33,0.9,2.4,0.4,0.3,0.4,0.692,0.1,1.7,4.6,0.5,0.0,2.8,2.3,7.8
Victoria Vivians,SEA,G-F,31.0,399.0,31.0,15.0,12.9,1.2,3.5,0.346,0.6,1.9,0.322,0.6,1.5,0.375,0.2,0.3,0.667,0.5,2.1,0.8,0.4,0.2,0.6,1.2,3.2
Shatori Walker-Kimbrough,WAS,G,34.0,762.0,34.0,2.0,22.4,2.6,6.4,0.406,1.0,2.9,0.34,1.6,3.6,0.459,1.3,1.6,0.804,0.3,1.8,1.9,1.1,0.5,1.3,1.1,7.5
Kristy Wallace,IND,G,24.0,418.0,24.0,15.0,17.4,1.7,4.5,0.38,0.6,2.2,0.264,1.1,2.3,0.491,0.4,0.7,0.625,0.4,1.8,1.8,0.7,0.3,0.6,1.2,4.4
Erica Wheeler,IND,G,33.0,476.0,33.0,2.0,14.4,1.5,3.8,0.403,0.3,1.3,0.262,1.2,2.5,0.476,0.3,0.3,0.818,0.2,1.5,1.8,0.5,0.1,1.0,1.2,3.6
Sami Whitcomb,SEA,G,34.0,501.0,34.0,0.0,14.7,1.8,5.0,0.351,1.1,3.9,0.288,0.6,1.1,0.564,0.3,0.3,0.818,0.3,1.6,1.5,0.9,0.3,0.9,1.3,4.9
Courtney Williams,MIN,G,33.0,865.0,33.0,33.0,26.2,4.8,10.9,0.438,0.6,1.8,0.328,4.2,9.2,0.459,0.8,1.1,0.8,0.3,4.7,5.4,0.9,0.4,2.5,2.0,11.0
Elizabeth Williams,CHI,C-F,9.0,249.0,9.0,9.0,27.7,4.1,8.4,0.487,0.0,0.0,0.0,4.1,8.4,0.487,1.8,2.7,0.667,2.8,7.0,1.6,1.7,1.7,1.7,2.1,10.0
Gabby Williams,SEA,F,6.0,164.0,6.0,5.0,27.3,3.0,7.5,0.4,0.3,2.3,0.143,2.7,5.2,0.516,1.2,1.7,0.7,0.7,3.3,3.5,1.3,0.0,1.5,2.0,7.5
Kiana Williams,SEA,G,13.0,45.0,13.0,0.0,3.5,0.3,1.2,0.25,0.2,0.7,0.333,0.1,0.5,0.143,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.2,0.8
A'ja Wilson,LVA,C,33.0,1131.0,33.0,33.0,34.3,10.2,19.5,0.526,0.6,1.7,0.339,9.7,17.8,0.544,6.5,7.5,0.859,2.3,12.1,2.4,1.9,2.7,1.3,1.8,27.5
Jackie Young,LVA,G,31.0,1031.0,31.0,31.0,33.3,5.7,13.2,0.431,2.0,5.9,0.342,3.6,7.2,0.504,3.5,4.0,0.87,0.8,4.6,5.4,1.1,0.3,2.3,2.3,16.8
Li Yueru,LAS,C,31.0,443.0,31.0,2.0,14.3,1.7,3.8,0.449,0.1,0.4,0.182,1.6,3.5,0.477,1.4,1.6,0.88,1.3,3.5,0.5,0.4,0.2,0.9,2.2,4.9
Cecilia Zandalasini,MIN,F,33.0,413.0,33.0,0.0,12.5,1.7,3.8,0.444,0.8,1.8,0.458,0.8,2.0,0.431,0.5,0.9,0.621,0.1,1.3,1.1,0.3,0.2,0.8,1.5,4.7
Rachel Banham,TOT,G,30.0,455.0,30.0,6.0,15.2,1.7,5.1,0.338,1.2,3.5,0.343,0.5,1.6,0.327,0.3,0.4,0.769,0.2,1.5,0.9,0.4,0.2,0.5,1.5,5.0
Morgan Bertsch,TOT,F,11.0,100.0,11.0,0.0,9.1,0.5,2.7,0.2,0.2,1.4,0.133,0.4,1.4,0.267,0.7,0.9,0.8,0.7,1.5,0.2,0.1,0.1,1.2,1.3,2.0
Monique Billings,TOT,F,32.0,754.0,32.0,14.0,23.6,3.2,6.7,0.472,0.1,0.4,0.25,3.1,6.3,0.485,1.6,2.0,0.794,1.8,6.1,1.6,0.8,0.5,1.9,2.3,8.0
Crystal Dangerfield,TOT,G,26.0,353.0,26.0,5.0,13.6,1.0,3.8,0.273,0.4,1.7,0.25,0.6,2.1,0.291,0.6,0.7,0.882,0.0,1.0,1.9,0.4,0.2,0.6,0.8,3.1
Queen Egbo,TOT,F-C,5.0,11.0,5.0,0.0,2.2,0.2,1.2,0.167,0.0,0.0,0.0,0.2,1.2,0.167,0.4,0.4,1.0,0.4,1.0,0.0,0.2,0.0,0.0,0.4,0.8
Myisha Hines-Allen,TOT,F,33.0,607.0,33.0,10.0,18.4,3.0,6.1,0.49,0.5,1.5,0.354,2.5,4.7,0.532,1.1,1.4,0.822,1.0,4.5,2.5,0.7,0.1,1.4,1.9,7.6
Moriah Jefferson,TOT,G,17.0,142.0,17.0,0.0,8.4,0.5,2.1,0.25,0.2,1.1,0.222,0.3,1.1,0.278,0.4,0.5,0.875,0.2,0.5,1.2,0.4,0.0,0.4,0.6,1.7
Sika Koné,TOT,F,21.0,112.0,21.0,0.0,5.3,0.7,2.0,0.366,0.1,0.2,0.4,0.6,1.7,0.361,0.8,0.9,0.842,0.4,1.1,0.2,0.2,0.0,0.4,0.7,2.3
Marina Mabrey,TOT,G,33.0,1036.0,33.0,27.0,31.4,5.2,13.0,0.4,2.4,6.5,0.367,2.8,6.5,0.432,1.2,1.7,0.732,0.7,4.5,4.1,1.2,0.3,2.4,2.8,14.0
Odyssey Sims,TOT,G,17.0,506.0,17.0,10.0,29.8,5.4,10.9,0.495,1.1,3.0,0.373,4.3,7.9,0.541,2.4,3.2,0.745,0.8,2.4,5.5,1.2,0.3,1.6,1.4,14.4
Sug Sutton,TOT,G,26.0,354.0,26.0,0.0,13.6,0.9,2.8,0.311,0.4,1.5,0.263,0.5,1.4,0.361,0.3,0.5,0.692,0.2,1.0,2.2,0.6,0.0,1.2,1.0,2.5
Celeste Taylor,TOT,G,17.0,194.0,17.0,1.0,11.4,0.8,1.9,0.438,0.3,0.9,0.333,0.5,1.0,0.529,0.3,0.5,0.556,0.2,0.8,1.1,0.5,0.3,0.8,0.9,2.2
